sentence,inference,model,label
"Royal Academy Summer Exhibition review: Elegant show explores Brexit, environmental concerns and more","The writer is implying that the british academy is having a summer exhibition
",gpt2_large,real
"Royal Academy Summer Exhibition review: Elegant show explores Brexit, environmental concerns and more","The writer is implying that the royal academy has a show on climate change
",t5_base,real
"Royal Academy Summer Exhibition review: Elegant show explores Brexit, environmental concerns and more","The writer is implying that the royal academy cares about climate change
",t5_large,real
Childcare Programs,"The writer is implying that schools should not be reopened
",gpt2_large,real
Childcare Programs,"The writer is implying that children are being cared for in child care facilities
",t5_base,real
Childcare Programs,"The writer is implying that childcare programs need to be shut down
",t5_large,real
Mental health effects of COVID-19 revealed in new study,"The writer is implying that covid affects mental health
",gpt2_large,real
Mental health effects of COVID-19 revealed in new study,"The writer is implying that the pandemic is affecting mental health
",t5_base,real
Mental health effects of COVID-19 revealed in new study,"The writer is implying that mental health is affected by covid-19
",t5_large,real
Meet The White House's New Chief Climate Change Skeptic,"The writer is implying that the white house doesn't believe in climate change
",gpt2_large,real
Meet The White House's New Chief Climate Change Skeptic,"The writer is implying that the white house has a climate change skeptic
",t5_base,real
Meet The White House's New Chief Climate Change Skeptic,"The writer is implying that the white house is a climate change denier
",t5_large,real
'It's no longer free to pollute': Canada imposes carbon tax on four provinces,"The writer is implying that the government is taking action to curb pollution
",gpt2_large,real
'It's no longer free to pollute': Canada imposes carbon tax on four provinces,"The writer is implying that canada is imposing a carbon tax
",t5_base,real
'It's no longer free to pollute': Canada imposes carbon tax on four provinces,"The writer is implying that canada imposes carbon tax on four provinces
",t5_large,real
Durian rush creates thorny environmental problems in Malaysia,"The writer is implying that a country is creating problems for the environment
",gpt2_large,real
Durian rush creates thorny environmental problems in Malaysia,"The writer is implying that durian rush creates environmental problems in malaysia
",t5_base,real
Durian rush creates thorny environmental problems in Malaysia,"The writer is implying that durian rush is bad for the environment in malaysia
",t5_large,real
Lord Michael Heseltine: 'Chilling' similarities between 1930s and current political climate,"The writer is implying that climate change is similar to the 1930s
",gpt2_large,real
Lord Michael Heseltine: 'Chilling' similarities between 1930s and current political climate,"The writer is implying that heseltine thinks the political climate is similar
",t5_base,real
Lord Michael Heseltine: 'Chilling' similarities between 1930s and current political climate,"The writer is implying that the political climate is similar to 1930s
",t5_large,real
Earthrise: Youtubers Jack and Finn Harries join filmmaker Alice Aedy to launch new digital platform for younger generation of climate activists,"The writer is implying that younger generation cares about climate change
",gpt2_large,real
Earthrise: Youtubers Jack and Finn Harries join filmmaker Alice Aedy to launch new digital platform for younger generation of climate activists,"The writer is implying that jack and fin harries join together to create platform for younger climate activists
",t5_base,real
Earthrise: Youtubers Jack and Finn Harries join filmmaker Alice Aedy to launch new digital platform for younger generation of climate activists,"The writer is implying that the younger generation is more concerned about climate change
",t5_large,real
This Lab Aims to Prepare the U.S. Electricity Grid for a Climate Transformation,"The writer is implying that electric grid is being prepared for climate change
",gpt2_large,real
This Lab Aims to Prepare the U.S. Electricity Grid for a Climate Transformation,"The writer is implying that a lab wants to prepare the electric grid for a climate change transformation
",t5_base,real
This Lab Aims to Prepare the U.S. Electricity Grid for a Climate Transformation,"The writer is implying that the grid will be prepared for a climate change
",t5_large,real
Mining Giant Glencore Turns From Coal to Climate-Friendly Assets,"The writer is implying that a mining company is turning away from coal
",gpt2_large,real
Mining Giant Glencore Turns From Coal to Climate-Friendly Assets,"The writer is implying that glencore cares about climate change
",t5_base,real
Mining Giant Glencore Turns From Coal to Climate-Friendly Assets,"The writer is implying that mining giant glencore cares about climate change
",t5_large,real
"COVID-19, Masks, and the ACA: 7 Takeaways from the Presidential Debate","The writer is implying that masks are important
",gpt2_large,real
"COVID-19, Masks, and the ACA: 7 Takeaways from the Presidential Debate","The writer is implying that covid-19, masks, and the aca are important
",t5_base,real
"COVID-19, Masks, and the ACA: 7 Takeaways from the Presidential Debate","The writer is implying that masks can help prevent covid
",t5_large,real
Siberian scientists plan to resume air studies of Arctic climate,"The writer is implying that scientists are going back to work
",gpt2_large,real
Siberian scientists plan to resume air studies of Arctic climate,"The writer is implying that siberian scientists are interested in climate change
",t5_base,real
Siberian scientists plan to resume air studies of Arctic climate,"The writer is implying that siberian scientists plan to resume air studies of arctic climate
",t5_large,real
Forest size of Yorkshire must be planted for UK to meet its climate targets scientists warn,"The writer is implying that the government needs to plant more trees
",gpt2_large,real
Forest size of Yorkshire must be planted for UK to meet its climate targets scientists warn,"The writer is implying that uk needs to plant more trees to meet climate targets
",t5_base,real
Forest size of Yorkshire must be planted for UK to meet its climate targets scientists warn,"The writer is implying that the uk needs to plant more trees to fight climate change
",t5_large,real
"Novel COVID-19 survey takes nation's social, mental ""Pulse""","The writer is implying that covid statistics are being taken seriously
",gpt2_large,real
"Novel COVID-19 survey takes nation's social, mental ""Pulse""","The writer is implying that the pandemic is affecting society negatively
",t5_base,real
"Novel COVID-19 survey takes nation's social, mental ""Pulse""","The writer is implying that society's mental health is being affected by covid
",t5_large,real
New Zealand asks visitors to pledge to protect environment amid concerns over impact of tourism,"The writer is implying that new zealand is concerned about climate change
",gpt2_large,real
New Zealand asks visitors to pledge to protect environment amid concerns over impact of tourism,"The writer is implying that new zealand wants people to take action on climate change
",t5_base,real
New Zealand asks visitors to pledge to protect environment amid concerns over impact of tourism,"The writer is implying that new zealand cares about the environment
",t5_large,real
Climate Disruption Is Now Locked In. The Next Moves Will Be Crucial.,"The writer is implying that climate change is happening
",gpt2_large,real
Climate Disruption Is Now Locked In. The Next Moves Will Be Crucial.,"The writer is implying that climate change is a serious issue
",t5_base,real
Climate Disruption Is Now Locked In. The Next Moves Will Be Crucial.,"The writer is implying that climate change is a priority
",t5_large,real
General election 2019: Greens call for 100bn a year for climate action,"The writer is implying that the green party wants to spend money on climate change
",gpt2_large,real
General election 2019: Greens call for 100bn a year for climate action,"The writer is implying that greens want to spend more on climate change
",t5_base,real
General election 2019: Greens call for 100bn a year for climate action,"The writer is implying that the greens care about climate change
",t5_large,real
COVIDTracer 1.0,"The writer is implying that there is a covid-19 tracer
",gpt2_large,real
COVIDTracer 1.0,"The writer is implying that there is a new tool to help with covid
",t5_base,real
COVIDTracer 1.0,"The writer is implying that a new version of covid is available
",t5_large,real
Commentary We Should Prepare for Climate Change Like We Prepare for War,"The writer is implying that we should prepare for climate change like we prepare for war
",gpt2_large,real
Commentary We Should Prepare for Climate Change Like We Prepare for War,"The writer is implying that we should prepare for climate change like we do for war
",t5_base,real
Commentary We Should Prepare for Climate Change Like We Prepare for War,"The writer is implying that climate change is real
",t5_large,real
"Elizabeth Warren's Climate Justice Plan Aims To Keep Water Public, Study Pollution More","The writer is implying that elizabeth warren wants to keep water public
",gpt2_large,real
"Elizabeth Warren's Climate Justice Plan Aims To Keep Water Public, Study Pollution More","The writer is implying that elizabeth warren wants to keep water public and study pollution more
",t5_base,real
"Elizabeth Warren's Climate Justice Plan Aims To Keep Water Public, Study Pollution More","The writer is implying that warren's climate justice plan will keep water public
",t5_large,real
Oklahoma Gov. Sitt Tests Positive for COVID-19,"The writer is implying that a government official got covid
",gpt2_large,real
Oklahoma Gov. Sitt Tests Positive for COVID-19,"The writer is implying that oklahoma governor sitt tested positive
",t5_base,real
Oklahoma Gov. Sitt Tests Positive for COVID-19,"The writer is implying that the governor of ok was infected with covid
",t5_large,real
Most Americans accept that climate change is real and worrying,"The writer is implying that society cares about climate change
",gpt2_large,real
Most Americans accept that climate change is real and worrying,"The writer is implying that most americans believe climate change is real
",t5_base,real
Most Americans accept that climate change is real and worrying,"The writer is implying that most americans accept that climate change is real
",t5_large,real
Cancer Screening Delays May Cause Spike in Deaths,"The writer is implying that covid-19 screening is harmful
",gpt2_large,real
Cancer Screening Delays May Cause Spike in Deaths,"The writer is implying that the pandemic is getting worse
",t5_base,real
Cancer Screening Delays May Cause Spike in Deaths,"The writer is implying that cancer screenings are being delayed due to covid
",t5_large,real
UN Secretary-General warns of 'critical juncture' in fight against climate change at COP25,"The writer is implying that the un is worried about climate change
",gpt2_large,real
UN Secretary-General warns of 'critical juncture' in fight against climate change at COP25,"The writer is implying that un secretary-general warns of a critical moment in fight against climate change
",t5_base,real
UN Secretary-General warns of 'critical juncture' in fight against climate change at COP25,"The writer is implying that the un is concerned about climate change
",t5_large,real
NYC COVID-19 Deaths During Peak Rivaled 1918 Flu Fatalities,"The writer is implying that covid is more deadly than flu
",gpt2_large,real
NYC COVID-19 Deaths During Peak Rivaled 1918 Flu Fatalities,"The writer is implying that covid death rates are higher than in 1918
",t5_base,real
NYC COVID-19 Deaths During Peak Rivaled 1918 Flu Fatalities,"The writer is implying that the pandemic is dangerous
",t5_large,real
"Flu Taking a Toll, Pediatric Deaths Hit 17-Year High","The writer is implying that the flu is dangerous
",gpt2_large,real
"Flu Taking a Toll, Pediatric Deaths Hit 17-Year High","The writer is implying that the flu is dangerous for children
",t5_base,real
"Flu Taking a Toll, Pediatric Deaths Hit 17-Year High","The writer is implying that the flu is killing children
",t5_large,real
Alaska's new climate threat: tsunamis linked to melting permafrost,"The writer is implying that climate change is real
",gpt2_large,real
Alaska's new climate threat: tsunamis linked to melting permafrost,"The writer is implying that the permafrost is melting due to climate change
",t5_base,real
Alaska's new climate threat: tsunamis linked to melting permafrost,"The writer is implying that melting permafrost is causing tsunamis
",t5_large,real
Can the catastrophic fires bring some sanity to Australian climate politics?,"The writer is implying that wildfires in australia are a result of climate change
",gpt2_large,real
Can the catastrophic fires bring some sanity to Australian climate politics?,"The writer is implying that wildfires are affecting australian politics
",t5_base,real
Can the catastrophic fires bring some sanity to Australian climate politics?,"The writer is implying that wildfires are caused by climate change in australia
",t5_large,real
"Meddling Monarchs, Terrorism and Climate ChangeBankers Would Like Investors to Ignore These Concerns Looming Over Saudi Aramco IPO","The writer is implying that climate change is a hoax
",gpt2_large,real
"Meddling Monarchs, Terrorism and Climate ChangeBankers Would Like Investors to Ignore These Concerns Looming Over Saudi Aramco IPO","The writer is implying that investors are worried about climate change and monarchs
",t5_base,real
"Meddling Monarchs, Terrorism and Climate ChangeBankers Would Like Investors to Ignore These Concerns Looming Over Saudi Aramco IPO","The writer is implying that the iraqian government doesn't care about climate change
",t5_large,real
GOP Climate Change Denial Set The Stage For Trump's Coronavirus Conspiracies,"The writer is implying that trump is a climate change denier
",gpt2_large,real
GOP Climate Change Denial Set The Stage For Trump's Coronavirus Conspiracies,"The writer is implying that republicans don't believe in climate change
",t5_base,real
