id,sentence,inference,model,label,text
0,"Royal Academy Summer Exhibition review: Elegant show explores Brexit, environmental concerns and more","The writer is implying that the british academy is having a summer exhibition
",gpt2_large,real,"Headline: Royal Academy Summer Exhibition review: Elegant show explores Brexit, environmental concerns and more
Inference: The writer is implying that the british academy is having a summer exhibition
"
1,"Royal Academy Summer Exhibition review: Elegant show explores Brexit, environmental concerns and more","The writer is implying that the royal academy has a show on climate change
",t5_base,real,"Headline: Royal Academy Summer Exhibition review: Elegant show explores Brexit, environmental concerns and more
Inference: The writer is implying that the royal academy has a show on climate change
"
2,"Royal Academy Summer Exhibition review: Elegant show explores Brexit, environmental concerns and more","The writer is implying that the royal academy cares about climate change
",t5_large,real,"Headline: Royal Academy Summer Exhibition review: Elegant show explores Brexit, environmental concerns and more
Inference: The writer is implying that the royal academy cares about climate change
"
3,Childcare Programs,"The writer is implying that schools should not be reopened
",gpt2_large,real,"Headline: Childcare Programs
Inference: The writer is implying that schools should not be reopened
"
4,Childcare Programs,"The writer is implying that children are being cared for in child care facilities
",t5_base,real,"Headline: Childcare Programs
Inference: The writer is implying that children are being cared for in child care facilities
"
5,Childcare Programs,"The writer is implying that childcare programs need to be shut down
",t5_large,real,"Headline: Childcare Programs
Inference: The writer is implying that childcare programs need to be shut down
"
6,Mental health effects of COVID-19 revealed in new study,"The writer is implying that covid affects mental health
",gpt2_large,real,"Headline: Mental health effects of COVID-19 revealed in new study
Inference: The writer is implying that covid affects mental health
"
7,Mental health effects of COVID-19 revealed in new study,"The writer is implying that the pandemic is affecting mental health
",t5_base,real,"Headline: Mental health effects of COVID-19 revealed in new study
Inference: The writer is implying that the pandemic is affecting mental health
"
8,Mental health effects of COVID-19 revealed in new study,"The writer is implying that mental health is affected by covid-19
",t5_large,real,"Headline: Mental health effects of COVID-19 revealed in new study
Inference: The writer is implying that mental health is affected by covid-19
"
9,Meet The White House's New Chief Climate Change Skeptic,"The writer is implying that the white house doesn't believe in climate change
",gpt2_large,real,"Headline: Meet The White House's New Chief Climate Change Skeptic
Inference: The writer is implying that the white house doesn't believe in climate change
"
10,Meet The White House's New Chief Climate Change Skeptic,"The writer is implying that the white house has a climate change skeptic
",t5_base,real,"Headline: Meet The White House's New Chief Climate Change Skeptic
Inference: The writer is implying that the white house has a climate change skeptic
"
11,Meet The White House's New Chief Climate Change Skeptic,"The writer is implying that the white house is a climate change denier
",t5_large,real,"Headline: Meet The White House's New Chief Climate Change Skeptic
Inference: The writer is implying that the white house is a climate change denier
"
12,'It's no longer free to pollute': Canada imposes carbon tax on four provinces,"The writer is implying that the government is taking action to curb pollution
",gpt2_large,real,"Headline: 'It's no longer free to pollute': Canada imposes carbon tax on four provinces
Inference: The writer is implying that the government is taking action to curb pollution
"
